"Row.names","hypermean","nothypermean","ttest_pval","log2_hyper_v_nothyper","wilcox_pval","cohens","deseq_pval","deseq_log2","epi_04_um_300s_pval","epi_04um_300s_spearman","epi_04_um_300s_HYPER_pval","epi_04um_300s_HYPER_spearman","overlapgroup","GOIup","GOIdown"
"PRDX4",28.2303701686921,39.9891397173148,0.116475046838074,-0.502360198769871,0.108765530257408,0.349007405020149,0.0212542007223334,-0.720101268497428,0.393555630262831,-0.0942955797627521,0.403362796397576,-0.079728289484146,"deseq_sig",NA,NA
"PRELID3B",88.7531218768365,119.869378739684,0.0587073492553696,-0.433593389739992,0.0254455909902461,0.439425255819695,0.0843500065674136,-0.373469648344878,0.0884839677461738,-0.187020139202637,0.0394512720506499,-0.194915642023633,"wilcox_sig;epicorrALL_sig",NA,NA
"PREPL",116.922259939659,155.236341405992,0.0497054824017475,-0.408916717596513,0.0411397274274691,0.520528931598962,0.053883994592676,-0.395495410996172,0.0251002840453738,-0.244332599128354,0.000605650686733514,-0.319083365585242,"wilcox_sig;epicorrALL_sig",NA,NA
"PRF1",630.533619516286,610.050196219569,0.961862946386613,0.0476453403199307,0.483732870174269,0.0130405632940845,0.000791312081511636,-1.99346604660658,0.455377512525553,-0.0825453517549325,0.982630041968204,0.00208057426743002,"deseq_sig",NA,NA
"PRIMPOL",692.155952818863,869.536965282846,0.173613505140403,-0.329150225206488,0.18848238670999,0.321414665550239,0.316959316052372,-0.242577132655977,0.0244604390689073,-0.245386062513345,0.0081222309211145,-0.248954918631491,"epicorrALL_sig",NA,NA
"PRKAA1",557.252686688248,654.983111302673,0.0855501594449532,-0.233126040148401,0.104132341324564,0.460778955404393,0.343428094127625,-0.130319812006476,0.220479655954771,-0.13509654966937,0.0116836074858509,-0.237509648488993,"epicorrALL_sig",NA,NA
"PRKAB1",116.382563869234,158.355772696378,0.0215699849600859,-0.44429452663993,0.128957786536746,0.466797124371393,0.0309332102724463,-0.515948189037799,0.338694284857164,0.105680610534643,0.272620829961083,0.104549701727212,"deseq_sig",NA,NA
"PRKACA",82.7638322505114,66.376529206484,0.180250552024768,0.318327254864523,0.161329036232615,0.386182980502566,0.0791050040430103,0.358558130308252,0.221038941630017,0.134934478379371,0.0262721052903467,0.2099837524352,"epicorrALL_sig",NA,NA
"PRKACB",3666.52513084293,4262.31520690417,0.0821491335923275,-0.217223859474154,0.0911634537209918,0.41370502930694,0.33688141956922,-0.128320420873501,0.273039402824059,-0.120965959072626,0.0262939826628514,-0.209953846914111,"epicorrALL_sig",NA,NA
"B4GALT1",533.197064365961,481.340684022067,0.358563230915004,0.147610469012445,0.309765768478898,0.260394227197566,0.105019301591619,0.259717173495749,0.363011115710133,0.100504458710316,0.541422714239698,0.0583072216889913,NA,NA,NA
"PRKCH",95.1344194707574,145.586294531791,0.201762968079908,-0.613835241620968,0.789242484621573,0.254013992506284,0.0200210193137748,-1.08313064830297,0.984933721984032,0.00209174317552995,0.840214279990722,0.0192656050492314,"deseq_sig",NA,NA
